Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Naturalmente Erboristeria di Ruffato,Oriana,Villanova Di Camposampiero,PD,Erboristeria,02405950284,o.ruffato@alice.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Naturalmente%20Erboristeria%20di%20Ruffato&rc51bef4dd505413ebc19b4d510a3365a=Oriana&r26540616401e4f999c44de10ddc004ee=Villanova%20Di%20Camposampiero&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02405950284&r1addcad129b44b3cb2220834a33335d5=o.ruffato%40alice.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
SHOPSI S.R.L.,,SAN VENDEMIANO,TV,Erboristeria,03017680236,SHOPSI@PEC.IT,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=SHOPSI%20S.R.L.&r26540616401e4f999c44de10ddc004ee=SAN%20VENDEMIANO&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03017680236&r1addcad129b44b3cb2220834a33335d5=SHOPSI%40PEC.IT&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Sacro Cuore,,Bertipaglia,PD,Farmacia,03753340284,,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Sacro%20Cuore&r26540616401e4f999c44de10ddc004ee=Bertipaglia&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03753340284&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Vina s.r.l.,,Villafranca Di Verona,VR,Parafarmacia,04210700235,ZAIRA.SCOMPARIN.ECORNATURASI.IT,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Vina%20s.r.l.&r26540616401e4f999c44de10ddc004ee=Villafranca%20Di%20Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04210700235&r1addcad129b44b3cb2220834a33335d5=ZAIRA.SCOMPARIN.ECORNATURASI.IT&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Poletti di Poletti Giovanni Mar,ia e C. snc,Montagnana,PD,Farmacia,02553480282,farmaciapoletti@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Poletti%20di%20Poletti%20Giovanni%20Mar&rc51bef4dd505413ebc19b4d510a3365a=ia%20e%20C.%20snc&r26540616401e4f999c44de10ddc004ee=Montagnana&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02553480282&r1addcad129b44b3cb2220834a33335d5=farmaciapoletti%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Parafarmacia Scrovegni Dott.ssa Borgato,Stefania,Padova,PD,Parafarmacia,04779840281,parafarmaciaborgato@pec.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Scrovegni%20Dott.ssa%20Borgato&rc51bef4dd505413ebc19b4d510a3365a=Stefania&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04779840281&r1addcad129b44b3cb2220834a33335d5=parafarmaciaborgato%40pec.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Oltrebrenta S.n.c.,,Noventa Padovana,PD,Farmacia,05039230288,farmaciaoltrebrenta@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Oltrebrenta%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Noventa%20Padovana&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05039230288&r1addcad129b44b3cb2220834a33335d5=farmaciaoltrebrenta%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Fusi del Dr. Alessandro Fusi,,Storo,TN,Farmacia,01845590221,farmacia.storo@cedisnet.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Fusi%20del%20Dr.%20Alessandro%20Fusi&r26540616401e4f999c44de10ddc004ee=Storo&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01845590221&r1addcad129b44b3cb2220834a33335d5=farmacia.storo%40cedisnet.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Parafamacia L'Angolo della Salute di Mal,avasi Dr.ssa Cristina,Occhiobello,RO,Parafarmacia,01074260298,cristina.malavasi@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafamacia%20L%27Angolo%20della%20Salute%20di%20Mal&rc51bef4dd505413ebc19b4d510a3365a=avasi%20Dr.ssa%20Cristina&r26540616401e4f999c44de10ddc004ee=Occhiobello&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01074260298&r1addcad129b44b3cb2220834a33335d5=cristina.malavasi%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Pettorazza s.a.s.,,Pettorazza Grimani,RO,Farmacia,01476560295,farmaciapettorazza@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Pettorazza%20s.a.s.&r26540616401e4f999c44de10ddc004ee=Pettorazza%20Grimani&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01476560295&r1addcad129b44b3cb2220834a33335d5=farmaciapettorazza%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Colombo S.n.c.,,Cadoneghe,PD,Farmacia,05061770284,farmaciacolombocadoneghe@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Colombo%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Cadoneghe&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05061770284&r1addcad129b44b3cb2220834a33335d5=farmaciacolombocadoneghe%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Centrale S.n.c.,,Adria,RO,Farmacia,01568200297,matteostoppa@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Centrale%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Adria&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01568200297&r1addcad129b44b3cb2220834a33335d5=matteostoppa%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Agec (Farmacia Comunale Chievo),,Verona,VR,Farmacia,02769110236,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Agec%20%28Farmacia%20Comunale%20Chievo%29&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02769110236&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Agec (Farmacia Comunale Golosine),,Verona,VR,Farmacia,02769110236,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Agec%20%28Farmacia%20Comunale%20Golosine%29&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02769110236&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Agec (Farmacia Comunale Olimpia),,Verona,VR,Farmacia,02769110236,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Agec%20%28Farmacia%20Comunale%20Olimpia%29&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02769110236&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Agec (Farmacia Comunale Palazzina),,Verona,VR,Farmacia,02769110236,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Agec%20%28Farmacia%20Comunale%20Palazzina%29&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02769110236&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Biosapori S.r.l. (Bassano del Grappa VI),,Cassola,VI,Erboristeria,03095390245,contabilita@biosapori.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Biosapori%20S.r.l.%20%28Bassano%20del%20Grappa%20VI%29&r26540616401e4f999c44de10ddc004ee=Cassola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03095390245&r1addcad129b44b3cb2220834a33335d5=contabilita%40biosapori.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Biosapori S.r.l. (Noventa Padovana PD),,Cassola,VI,Erboristeria,03095390245,contabilita@biosapori.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Biosapori%20S.r.l.%20%28Noventa%20Padovana%20PD%29&r26540616401e4f999c44de10ddc004ee=Cassola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03095390245&r1addcad129b44b3cb2220834a33335d5=contabilita%40biosapori.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Biosapori S.r.l. (Thiene VI),,Cassola,VI,Erboristeria,03095390245,contabilita@biosapori.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Biosapori%20S.r.l.%20%28Thiene%20VI%29&r26540616401e4f999c44de10ddc004ee=Cassola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03095390245&r1addcad129b44b3cb2220834a33335d5=contabilita%40biosapori.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Biosapori S.r.l. (Viale del Mercato Nuov,o VI),Cassola,VI,Erboristeria,03095390245,contabilita@biosapori.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Biosapori%20S.r.l.%20%28Viale%20del%20Mercato%20Nuov&rc51bef4dd505413ebc19b4d510a3365a=o%20VI%29&r26540616401e4f999c44de10ddc004ee=Cassola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03095390245&r1addcad129b44b3cb2220834a33335d5=contabilita%40biosapori.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Armani di Armani Claudio S.a.s.,,Verona,VR,Farmacia,03057840237,info@farmacia-armani.it,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Armani%20di%20Armani%20Claudio%20S.a.s.&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03057840237&r1addcad129b44b3cb2220834a33335d5=info%40farmacia-armani.it&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Farmacia Sant'Anastasia Sas,,Verona,VR,Farmacia,04589240235,farmacia.anastasia@libero.it,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Sant%27Anastasia%20Sas&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04589240235&r1addcad129b44b3cb2220834a33335d5=farmacia.anastasia%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Farmacia Carraro Dr.ssa Giuliana,,Padova,PD,Farmacia,05021530281,farmaciacarraro@virgilio.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Carraro%20Dr.ssa%20Giuliana&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05021530281&r1addcad129b44b3cb2220834a33335d5=farmaciacarraro%40virgilio.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Dott. Mauro Segala e C. Snc,,Angiari,VR,Farmacia,03324200231,,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dott.%20Mauro%20Segala%20e%20C.%20Snc&r26540616401e4f999c44de10ddc004ee=Angiari&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03324200231&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Erboristeria Antichi Rimedi di Miotello,Maristella,Longare,VI,Erboristeria,02927360244,stellastellina_67@libero.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Antichi%20Rimedi%20di%20Miotello&rc51bef4dd505413ebc19b4d510a3365a=Maristella&r26540616401e4f999c44de10ddc004ee=Longare&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02927360244&r1addcad129b44b3cb2220834a33335d5=stellastellina_67%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Rossignoli snc,,Ronco D'adige (albaro),VR,Farmacia,03035340235,farmacia.rossignoli@outlook.com,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Rossignoli%20snc&r26540616401e4f999c44de10ddc004ee=Ronco%20D%27adige%20%28albaro%29&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03035340235&r1addcad129b44b3cb2220834a33335d5=farmacia.rossignoli%40outlook.com&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
"SHOPSI SRL (Naturasì - Via cà di Cozzi,",2 - Verona),Verona,VR,Erboristeria,03017680236,,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=SHOPSI%20SRL%20%28Naturas%C3%AC%20-%20Via%20c%C3%A0%20di%20Cozzi%2C&rc51bef4dd505413ebc19b4d510a3365a=2%20-%20Verona%29&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03017680236&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia Dr. Trombetta Francesco,,Torri Di Quartesolo,VI,Farmacia,03477960284,,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dr.%20Trombetta%20Francesco&r26540616401e4f999c44de10ddc004ee=Torri%20Di%20Quartesolo&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03477960284&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
La' Bio SRL - Naturasì,,Schio,VI,Erboristeria,03417480245,schio1@naturasi.biz,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%27%20Bio%20SRL%20-%20Naturas%C3%AC&r26540616401e4f999c44de10ddc004ee=Schio&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03417480245&r1addcad129b44b3cb2220834a33335d5=schio1%40naturasi.biz&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Artiglio Del Diavolo di Meneghesso Anna,,Padova,PD,Erboristeria,03870270281,info@artigliodeldiavolo.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Artiglio%20Del%20Diavolo%20di%20Meneghesso%20Anna&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03870270281&r1addcad129b44b3cb2220834a33335d5=info%40artigliodeldiavolo.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Parafarmacia Apotheke sas Dr. Beggio Ale,ssandro,Ponte San Nicolo',PD,Parafarmacia,04355460280,parafarmaciabeggio@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Apotheke%20sas%20Dr.%20Beggio%20Ale&rc51bef4dd505413ebc19b4d510a3365a=ssandro&r26540616401e4f999c44de10ddc004ee=Ponte%20San%20Nicolo%27&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04355460280&r1addcad129b44b3cb2220834a33335d5=parafarmaciabeggio%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Due Campane Dott.ssa Carraroli,G. & C. s.n.c.,Verona,VR,Farmacia,03257750236,farmaciaduecampane@gmail.com,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Due%20Campane%20Dott.ssa%20Carraroli&rc51bef4dd505413ebc19b4d510a3365a=G.%20%26%20C.%20s.n.c.&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03257750236&r1addcad129b44b3cb2220834a33335d5=farmaciaduecampane%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Farmacia Martelletto di Martelletto Gaet,ano e C. snc,Colognola Ai Colli,VR,Farmacia,02451330233,info@farmaciamartelletto.it,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Martelletto%20di%20Martelletto%20Gaet&rc51bef4dd505413ebc19b4d510a3365a=ano%20e%20C.%20snc&r26540616401e4f999c44de10ddc004ee=Colognola%20Ai%20Colli&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02451330233&r1addcad129b44b3cb2220834a33335d5=info%40farmaciamartelletto.it&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
